pack,card_number,card_name,card_element,card_type,card_rarity,tradeable,image_url
Genetic Apex,1,Bulbasaur,Grass,Basic,◊,TRUE,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_001_EN.webp
Genetic Apex,2,Ivysaur,Grass,Stage,◊◊,TRUE,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_002_EN.webp
Genetic Apex,3,Venusaur,Grass,Stage,◊◊◊,TRUE,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_003_EN.webp
Genetic Apex,4,Venusaur ex,Grass,Stage,◊◊◊◊,TRUE,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_004_EN.webp
Genetic Apex,5,Caterpie,Grass,Basic,◊,TRUE,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_005_EN.webp
Genetic Apex,6,Metapod,Grass,Stage,◊,TRUE,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_006_EN.webp
Genetic Apex,7,Butterfree,Grass,Stage,◊◊◊,TRUE,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_007_EN.webp
Genetic Apex,8,Weedle,Grass,Basic,◊,TRUE,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_008_EN.webp
Genetic Apex,9,Kakuna,Grass,Stage,◊,TRUE,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_009_EN.webp
Genetic Apex,10,Beedrill,Grass,Stage,◊◊◊,TRUE,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_010_EN.webp
Genetic Apex,11,Oddish,Grass,Basic,◊,TRUE,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_011_EN.webp
Genetic Apex,12,Gloom,Grass,Stage,◊◊,TRUE,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_012_EN.webp
Genetic Apex,13,Vileplume,Grass,Stage,◊◊◊,TRUE,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_013_EN.webp
Genetic Apex,14,Paras,Grass,Basic,◊,TRUE,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_014_EN.webp
Genetic Apex,15,Parasect,Grass,Stage,◊◊,TRUE,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_015_EN.webp
Genetic Apex,16,Venonat,Grass,Basic,◊,TRUE,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_016_EN.webp
Genetic Apex,17,Venomoth,Grass,Stage,◊◊,TRUE,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_017_EN.webp
Genetic Apex,18,Bellsprout,Grass,Basic,◊,TRUE,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_018_EN.webp
Genetic Apex,19,Weepinbell,Grass,Stage,◊◊,TRUE,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_019_EN.webp
Genetic Apex,20,Victreebel,Grass,Stage,◊◊◊,TRUE,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_020_EN.webp
Genetic Apex,21,Exeggcute,Grass,Basic,◊,TRUE,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_021_EN.webp
Genetic Apex,22,Exeggutor,Grass,Stage,◊◊◊,TRUE,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_022_EN.webp
Genetic Apex,23,Exeggutor ex,Grass,Stage,◊◊◊◊,TRUE,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_023_EN.webp
Genetic Apex,24,Tangela,Grass,Basic,◊,TRUE,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1/A1_024_EN.webp
